month,total_rainfall
1994-11,322.2
1994-12,425.4
1995-01,349.4
1995-02,334
1995-03,67.7
1995-04,242.3
1995-05,84.4
1995-06,63.7
1995-07,173.6
1995-08,211.6
1995-09,29.5
1995-10,101.1
1995-11,372.8
1995-12,302.5
1996-01,173.2
1996-02,180.2
1996-03,129.7
1996-04,178.2
1996-05,107.5
1996-06,265.8
1996-07,162.3
1996-08,258.4
1996-09,297
1996-10,300
1996-11,180.2
1996-12,185.5
1997-01,15.4
1997-02,105.4
1997-03,34.3
1997-04,118.4
1997-05,41.6
1997-06,78.9
1997-07,18.6
1997-08,86.6
1997-09,31.1
1997-10,78.4
1997-11,158.3
1997-12,351.9
1998-01,268.8
1998-02,32.5
1998-03,58.8
1998-04,187.7
1998-05,370.8
1998-06,198.8
1998-07,259.2
1998-08,195
1998-09,258.2
1998-10,222.7
1998-11,107.2
1998-12,463.4
1999-01,193.9
1999-02,67.4
1999-03,181.4
1999-04,88.5
1999-05,157.1
1999-06,103.4
1999-07,225.4
1999-08,204
1999-09,125.9
1999-10,205
1999-11,241.5
1999-12,340.5
2000-01,275.2
2000-02,237.8
2000-03,238.3
2000-04,311.6
2000-05,96.8
2000-06,157.5
2000-07,116.1
2000-08,113.5
2000-09,81.1
2000-10,120.9
2000-11,385.7
2000-12,236
2001-01,425.8
2001-02,86.6
2001-03,297.3
2001-04,203.3
2001-05,164.9
2001-06,137.1
2001-07,111.3
2001-08,158.3
2001-09,162
2001-10,252.2
2001-11,175.3
2001-12,609
2002-01,221.2
2002-02,50.8
2002-03,55.6
2002-04,116.5
2002-05,236.6
2002-06,83.1
2002-07,233.7
2002-08,54.2
2002-09,124.2
2002-10,10.8
2002-11,307.2
2002-12,255
2003-01,444.2
2003-02,172.9
2003-03,154.6
2003-04,159.9
2003-05,81.8
2003-06,50.3
2003-07,170.4
2003-08,193.6
2003-09,205.3
2003-10,351.4
2003-11,133.8
2003-12,273
2004-01,600.9
2004-02,31.9
2004-03,269.4
2004-04,57.1
2004-05,137.6
2004-06,127.2
2004-07,166.6
2004-08,185.2
2004-09,128.9
2004-10,125.6
2004-11,166.2
2004-12,139.8
2005-01,163.2
2005-02,8.4
2005-03,82.4
2005-04,81.7
2005-05,331.1
2005-06,82.3
2005-07,104
2005-08,58.5
2005-09,175.7
2005-10,314.5
2005-11,362.9
2005-12,166
2006-01,454.4
2006-02,115.5
2006-03,83.1
2006-04,239.8
2006-05,205.7
2006-06,236.8
2006-07,153.8
2006-08,127.3
2006-09,83.3
2006-10,102
2006-11,185.6
2006-12,765.9
2007-01,450.1
2007-02,105.5
2007-03,269.1
2007-04,240.2
2007-05,127.2
2007-06,139
2007-07,141.7
2007-08,190.7
2007-09,149
2007-10,237.2
2007-11,367.9
2007-12,468.6
2008-01,262.6
2008-02,129.2
2008-03,294.1
2008-04,87.2
2008-05,124.9
2008-06,118.3
2008-07,89.1
2008-08,327.3
2008-09,164.4
2008-10,159.5
2008-11,324.3
2008-12,244.2
2009-01,38.3
2009-02,201.8
2009-03,223.3
2009-04,183.7
2009-05,198.6
2009-06,21.8
2009-07,161
2009-08,177.8
2009-09,109.6
2009-10,133.4
2009-11,281.8
2009-12,189.8
2010-01,69.5
2010-02,6.3
2010-03,238
2010-04,158.5
2010-05,157.5
2010-06,240.5
2010-07,298.5
2010-08,158.4
2010-09,121.5
2010-10,166.2
2010-11,278.8
2010-12,181.4
2011-01,513.2
2011-02,23
2011-03,256.6
2011-04,217.8
2011-05,127
2011-06,213
2011-07,76.6
2011-08,81.4
2011-09,136.4
2011-10,216.8
2011-11,377.8
2011-12,284.6
2012-01,106.1
2012-02,83.6
2012-03,313.4
2012-04,260.6
2012-05,292
2012-06,53
2012-07,130.8
2012-08,119
2012-09,107.6
2012-10,122.2
2012-11,208.2
2012-12,363.4
2013-01,262
2013-02,395.2
2013-03,85.8
2013-04,159.4
2013-05,211.4
2013-06,111.4
2013-07,174.6
2013-08,165.6
2013-09,257
2013-10,285.4
2013-11,292.4
2013-12,348.2
2014-01,75.4
2014-02,0.2
2014-03,66
2014-04,110
2014-05,125.8
2014-06,71.4
2014-07,148.6
2014-08,241
2014-09,83.6
2014-10,120
2014-11,250.8
2014-12,245.6
2015-01,79.6
2015-02,18.8
2015-03,84.4
2015-04,73.2
2015-05,89
2015-06,95.8
2015-07,116.8
2015-08,185.8
2015-09,61.6
2015-10,87.2
2015-11,72.6
2015-12,302.3
2016-01,126.6
2016-02,186
2016-03,6.2
2016-04,89.8
2016-05,193.8
2016-06,162.8
2016-07,168.6
2016-08,139.2
2016-09,118.9
2016-10,181
2016-11,290.2
2016-12,292.6
2017-01,197.6
2017-02,158.4
2017-03,136.2
2017-04,208.6
2017-05,190
2017-06,106
2017-07,79.6
2017-08,84.2
2017-09,124.4
2017-10,120.8
2017-11,268.6
2017-12,371.2
2018-01,287
2018-02,14.8
2018-03,44.6
2018-04,61.2
2018-05,132.2
2018-06,182.6
2018-07,143.2
2018-08,121.6
2018-09,144.4
2018-10,234.4
2018-11,169.6
2018-12,172.6
2019-01,63.6
2019-02,31.6
2019-03,72.2
2019-04,174.8
2019-05,69
2019-06,173.8
2019-07,12.2
2019-08,11.8
2019-09,22.8
2019-10,176.8
2019-11,137.4
2019-12,421.5
2020-01,88.4
2020-02,65
2020-03,108.8
2020-04,188
2020-05,255.6
2020-06,233.8
2020-07,140.8
